business_id,business_name,review_year,platform,review_count,avg_rating,negative_review_count,pct_negative
B006,Business 03,2025,Yelp,5,4.4,1,0.2
B007,Bubble Tea All Day,2020,Google,1,5.0,0,0.0
B007,Bubble Tea All Day,2024,Google,30,4.866666667,1,0.033333333
B007,Bubble Tea All Day,2024,Yelp,39,4.923076923,1,0.025641026
B007,Bubble Tea All Day,2025,Google,68,4.911764706,1,0.014705882
B007,Bubble Tea All Day,2025,Yelp,23,4.739130435,2,0.086956522
B008,Westside Shipping & Mail,2011,Yelp,1,5.0,0,0.0
B008,Westside Shipping & Mail,2014,Yelp,1,5.0,0,0.0
B008,Westside Shipping & Mail,2015,Yelp,1,5.0,0,0.0
B008,Westside Shipping & Mail,2018,Google,1,5.0,0,0.0
B008,Westside Shipping & Mail,2020,Yelp,1,5.0,0,0.0
B008,Westside Shipping & Mail,2021,Yelp,1,5.0,0,0.0
B008,Westside Shipping & Mail,2022,Google,4,4.5,1,0.25
B008,Westside Shipping & Mail,2022,Yelp,1,5.0,0,0.0
B008,Westside Shipping & Mail,2023,Yelp,3,5.0,0,0.0
B008,Westside Shipping & Mail,2024,Google,1,5.0,0,0.0
B008,Westside Shipping & Mail,2025,Google,3,5.0,0,0.0
B008,Westside Shipping & Mail,2025,Yelp,4,4.0,1,0.25
B009,Peppers Mexican Grill,2018,Google,1,5.0,0,0.0
B009,Peppers Mexican Grill,2019,Google,1,5.0,0,0.0
B009,Peppers Mexican Grill,2019,Yelp,2,2.5,1,0.5
B009,Peppers Mexican Grill,2020,Google,10,3.9,3,0.3
B009,Peppers Mexican Grill,2020,Yelp,15,2.733333333,9,0.6
B009,Peppers Mexican Grill,2021,Google,25,3.8,7,0.28
B009,Peppers Mexican Grill,2021,Yelp,10,2.5,7,0.7
B009,Peppers Mexican Grill,2022,Google,16,4.25,2,0.125
B009,Peppers Mexican Grill,2022,Yelp,7,1.714285714,6,0.857142857
B009,Peppers Mexican Grill,2023,Google,17,3.764705882,5,0.294117647
B009,Peppers Mexican Grill,2023,Yelp,7,3.0,4,0.571428571
B009,Peppers Mexican Grill,2024,Google,44,4.409090909,6,0.136363636
B009,Peppers Mexican Grill,2024,Yelp,12,2.0,10,0.833333333
B009,Peppers Mexican Grill,2025,Google,132,4.295454545,23,0.174242424
B009,Peppers Mexican Grill,2025,Yelp,20,2.9,11,0.55
B010,Tobacco Zone,2011,Yelp,1,4.0,0,0.0
B010,Tobacco Zone,2012,Yelp,6,4.833333333,0,0.0
B010,Tobacco Zone,2013,Yelp,5,4.6,0,0.0
B010,Tobacco Zone,2014,Yelp,3,4.666666667,0,0.0
B010,Tobacco Zone,2015,Yelp,10,5.0,0,0.0
B010,Tobacco Zone,2016,Google,1,5.0,0,0.0
